1.562 0.069 0.892 1.396 0.381 0.910 
1.578 0.100 0.823 1.420 0.426 0.816 
1.588 0.192 0.911 1.399 0.456 0.834 
1.595 0.279 0.900 1.380 0.460 0.946 
1.562 0.396 0.799 1.353 0.476 0.808 
1.398 0.493 0.857 
1.410 0.496 0.848 
1.409 0.529 0.812 1.619 0.787 0.743 
1.399 0.546 0.891 1.613 0.846 0.823 
1.382 0.566 0.961 1.588 0.871 0.911 
1.412 0.642 0.901 
1.403 0.685 0.911 
1.445 0.839 0.784 
1.618 0.947 0.761 1.411 0.986 0.934 
1.602 0.953 0.879 1.395 1.100 0.826 
1.589 0.974 0.824 1.418 1.222 0.930 
1.583 0.985 0.856 1.422 1.293 0.931 
1.594 1.031 0.935 1.419 1.329 0.943 
1.601 1.086 0.960 1.424 1.369 0.738 
1.633 1.161 0.941 1.402 1.366 0.855 
1.625 1.248 0.971 1.397 1.385 0.776 
1.624 1.334 0.977 1.430 1.418 0.779 
1.614 1.441 0.774 1.412 1.413 0.843 
1.430 1.431 0.777 
1.411 1.411 0.891 
1.421 1.416 0.861 
1.415 1.416 0.891 
1.426 1.446 0.925 
1.431 1.477 0.920 
1.429 1.486 0.888 
1.460 1.512 0.974 
1.480 1.526 0.882 
1.492 1.518 0.818 
1.527 1.541 0.760 
1.548 1.535 0.778 1.588 1.734 0.844 
1.551 1.524 0.808 
1.549 1.515 0.900 
1.551 1.504 0.904 1.531 1.753 0.814 
1.561 1.514 0.895 1.500 1.763 0.836 
1.565 1.518 0.863 1.460 1.772 0.860 
1.558 1.524 0.872 1.436 1.773 0.905 
1.592 1.558 0.721 1.425 1.776 0.893 
1.572 1.552 0.792 1.425 1.799 0.867 
1.592 1.586 0.747 1.419 1.808 0.864 
1.584 1.591 0.835 1.417 1.815 0.889 
1.581 1.610 0.913 1.427 1.827 0.771 
1.616 1.652 0.812 1.423 1.822 0.843 
1.625 1.690 0.986 1.428 1.828 0.802 
1.622 1.732 0.927 1.415 1.812 0.857 
1.630 1.756 0.898 1.435 1.830 0.805 
1.636 1.762 0.930 1.419 1.791 0.769 
1.653 1.782 0.771 1.436 1.806 0.858 
1.650 1.763 0.912 1.442 1.790 0.843 
1.665 1.779 0.847 1.445 1.760 0.725 
1.438 1.722 0.843 
1.417 1.644 0.836 
1.409 1.593 0.833 
1.432 1.556 0.724 
1.388 1.489 0.763 
1.421 1.498 0.766 
1.383 1.451 0.914 
1.393 1.470 0.889 
1.391 1.454 0.858 
1.582 1.305 0.883 1.404 1.453 0.862 
1.576 1.204 0.868 1.383 1.426 0.918 
1.586 1.107 0.934 1.395 1.421 0.792 
1.579 1.071 0.951 1.381 1.369 0.819 
1.584 1.030 0.914 1.371 1.290 0.819 
1.591 1.018 0.886 1.363 1.196 0.805 
1.619 1.027 0.797 1.381 1.114 0.851 
1.367 0.901 0.803 
1.380 0.797 0.808 
1.383 0.684 0.818 1.585 0.967 0.893 
1.392 0.631 0.713 1.592 0.929 0.868 
1.358 0.591 0.950 
1.356 0.570 0.919 
1.360 0.572 0.766 
1.565 0.417 0.917 1.342 0.540 0.984 
1.541 0.275 0.868 1.373 0.540 0.859 
1.566 0.218 0.877 1.346 0.511 0.939 
1.568 0.152 0.890 1.347 0.448 0.920 
1.542 0.108 0.948 1.347 0.399 0.886 
1.552 0.088 0.891 1.375 0.287 0.831 
1.375 0.134 0.889 
1.337 -0.008 0.828 
1.349 -0.198 0.929 1.558 0.040 0.928 
1.334 -0.269 0.907 1.568 0.020 0.820 
1.324 -0.336 0.944 1.542 -0.040 0.883 
1.315 -0.368 0.879 1.549 -0.132 0.891 
1.310 -0.379 0.953 1.516 -0.206 0.863 
1.302 -0.392 0.938 
1.540 -0.698 0.731 1.309 -0.419 0.932 
1.492 -0.756 0.832 1.306 -0.440 0.891 
1.498 -0.784 0.792 1.325 -0.479 0.892 
1.501 -0.841 0.904 1.303 -0.553 0.886 
1.325 -0.644 0.910 
