3.364 1.266 0.905 3.145 1.509 0.948 
3.363 1.274 0.947 3.115 1.562 0.943 
3.345 1.284 0.963 3.095 1.586 0.936 
3.340 1.257 0.949 3.079 1.629 0.959 
3.324 1.268 0.948 3.048 1.629 0.930 
3.311 1.288 0.927 3.028 1.636 0.908 
3.028 1.627 0.957 
3.022 1.607 0.970 
2.998 1.569 0.856 
3.007 1.532 0.992 
3.003 1.514 0.990 
2.997 1.478 0.974 
3.008 1.459 0.927 3.082 1.717 0.943 
3.002 1.440 0.955 3.049 1.787 0.954 
2.994 1.437 0.961 2.989 1.841 0.951 
3.010 1.380 0.926 2.949 1.852 0.953 
3.010 1.380 0.926 2.949 1.852 0.953 
3.016 1.391 0.928 2.916 1.858 0.978 
3.033 1.382 0.931 2.879 1.825 0.950 
2.845 1.813 0.992 
2.798 1.791 0.960 
2.790 1.752 0.940 
2.771 1.723 0.937 
2.769 1.519 0.834 2.765 1.686 0.920 
2.605 1.519 0.916 
2.500 1.517 0.940 
2.412 1.507 0.942 
2.714 1.551 0.904 2.341 1.499 0.947 
2.677 1.514 0.949 2.294 1.482 0.919 
2.676 1.475 0.960 2.235 1.472 0.898 
2.636 1.453 0.941 2.187 1.454 0.939 
2.600 1.426 0.935 2.150 1.430 0.923 
2.132 1.404 0.916 
2.134 1.373 0.929 
2.127 1.342 0.924 
2.130 1.305 0.922 
2.099 1.286 0.927 
2.101 1.250 0.926 
2.102 1.214 0.925 
2.111 1.176 0.935 
2.111 1.140 0.934 
2.111 1.140 0.934 
2.110 1.098 0.917 
2.108 1.062 0.916 
2.106 1.027 0.913 
2.103 0.992 0.913 
2.101 0.963 0.929 
2.097 0.928 0.929 
2.092 0.893 0.927 
2.086 0.859 0.930 
2.075 0.833 0.912 
2.068 0.799 0.914 
2.063 0.771 0.929 
2.055 0.738 0.932 
2.042 0.713 0.929 
2.033 0.680 0.926 
2.024 0.648 0.929 
2.010 0.624 0.925 
1.999 0.592 0.922 
1.988 0.561 0.913 
1.979 0.535 0.930 
1.967 0.504 0.929 
1.949 0.477 0.907 
1.938 0.452 0.922 
1.924 0.422 0.923 
1.911 0.393 0.923 
1.896 0.364 0.923 
1.883 0.340 0.924 
1.868 0.312 0.923 
1.852 0.285 0.922 
1.836 0.258 0.921 
1.819 0.231 0.920 
1.802 0.205 0.918 
1.789 0.176 0.936 
1.771 0.151 0.922 
1.752 0.126 0.919 
1.734 0.102 0.918 
1.719 0.075 0.934 
1.696 0.048 0.917 
1.680 0.022 0.934 
1.660 -0.000 0.929 
1.643 -0.025 0.934 
1.619 -0.050 0.916 
1.601 -0.074 0.932 
1.577 -0.097 0.913 
1.558 -0.119 0.926 
1.558 -0.119 0.926 
1.536 -0.145 0.929 
1.517 -0.166 0.928 
1.494 -0.190 0.931 
1.472 -0.214 0.929 
1.449 -0.243 0.931 
1.426 -0.271 0.925 
1.405 -0.302 0.941 
1.381 -0.329 0.926 
1.355 -0.354 0.922 
1.328 -0.384 0.923 
1.307 -0.412 0.935 
1.285 -0.465 0.921 1.434 -0.321 0.937 
1.309 -0.628 0.920 1.417 -0.363 0.938 
1.292 -0.750 0.942 1.404 -0.420 0.937 
1.283 -0.891 0.956 1.394 -0.498 0.946 
1.274 -0.978 0.917 1.383 -0.518 0.894 
1.264 -1.061 0.919 1.369 -0.593 0.869 
1.241 -1.103 0.915 1.359 -0.638 0.826 
1.232 -1.154 0.904 
1.231 -1.194 0.903 
1.227 -1.201 0.902 1.371 -0.883 0.780 
1.215 -1.221 0.894 1.362 -0.996 0.791 
1.203 -1.230 0.894 1.357 -1.155 0.861 
1.198 -1.252 0.884 
1.182 -1.251 0.925 
1.171 -1.262 0.929 
1.171 -1.262 0.929 
1.214 -1.656 0.923 1.179 -1.281 0.932 
1.168 -1.692 0.938 1.191 -1.305 0.966 
1.113 -1.722 0.937 1.234 -1.294 0.912 
1.083 -1.733 0.964 1.257 -1.324 0.912 
1.064 -1.736 0.974 1.267 -1.340 0.934 
1.073 -1.726 0.977 
1.090 -1.702 0.980 
1.107 -1.680 0.984 
1.083 -1.469 0.917 
0.974 -1.536 0.943 
0.903 -1.588 0.953 1.195 -1.578 0.964 
0.858 -1.621 0.957 1.208 -1.573 0.967 
0.797 -1.662 0.953 1.197 -1.574 0.967 
0.783 -1.669 0.956 1.239 -1.544 0.932 
0.769 -1.678 0.962 1.232 -1.535 0.919 
0.782 -1.667 0.954 1.247 -1.526 0.918 
0.789 -1.663 0.962 
0.795 -1.657 0.962 
0.825 -1.637 0.972 
0.846 -1.616 0.956 
0.876 -1.596 0.968 
0.901 -1.576 0.965 
0.895 -1.825 0.940 0.918 -1.559 0.959 
0.865 -1.866 0.939 0.938 -1.545 0.971 
0.837 -1.902 0.937 0.945 -1.543 0.967 
0.842 -1.914 0.929 0.952 -1.545 0.962 
0.833 -1.940 0.933 0.976 -1.518 0.936 
0.839 -1.953 0.933 0.983 -1.536 0.933 
0.852 -1.959 0.932 0.988 -1.536 0.869 
0.878 -1.949 0.929 
0.910 -1.930 0.929 
0.943 -1.912 0.935 
0.963 -1.644 0.735 
0.902 -1.734 0.909 
0.837 -1.849 0.925 1.045 -1.848 0.926 
0.812 -1.937 0.944 1.076 -1.828 0.931 
0.812 -2.010 0.881 1.103 -1.819 0.926 
0.789 -2.069 0.927 1.120 -1.828 0.926 
